"SUBJECT AREA","PUBLICATIONS"
"Computer Science","222"
"Social Sciences","198"
"Engineering","102"
"Mathematics","40"
"Medicine","34"
"Decision Sciences","21"
"Business, Management and Accounting","17"
"Environmental Science","14"
"Nursing","12"
"Arts and Humanities","10"
"Chemical Engineering","10"
"Energy","10"
"Physics and Astronomy","8"
"Biochemistry, Genetics and Molecular Biology","7"
"Health Professions","7"
"Psychology","6"
"Materials Science","5"
"Economics, Econometrics and Finance","4"
"Pharmacology, Toxicology and Pharmaceutics","4"
"Agricultural and Biological Sciences","2"
"Chemistry","2"
"Immunology and Microbiology","2"
"Multidisciplinary","2"
"Earth and Planetary Sciences","1"
"Neuroscience","1"
"Veterinary","1"
